Attack,Threshold,Accuracy
fgsm_0.125,0.070403315,0.6338241226300928
fgsm_0.25,0.070403315,0.9450383219039935
fgsm_0.3125,0.070403315,0.9629891085114965
bim_0.125,0.070403315,0.6640782573618395
bim_0.25,0.070403315,0.9428196853569988
bim_0.3125,0.070403315,0.9539128680919726
pgd1_10,0.070403315,0.5679709560306575
pgd1_15,0.070403315,0.6578257361839451
pgd1_20,0.070403315,0.7508067769261799
pgd2_1,0.070403315,0.5880395320693829
pgd2_1.5,0.070403315,0.714300121016539
pgd2_2,0.070403315,0.8261395724082291
pgdi_0.125,0.070403315,0.6648850342880194
pgdi_0.25,0.070403315,0.9431222267043162
cwi,0.070403315,0.522085518354175
df,0.070403315,0.8966317063331989
hop,0.070403315,0.681726502622025
sta,0.070403315,0.8883622428398548
sa,0.070403315,0.7985074626865671
