Attack,Threshold,Accuracy
fgsm_0.125,0.070403315,0.6281857451403887
fgsm_0.25,0.070403315,0.940193491644679
fgsm_0.3125,0.070403315,0.962979094076655
bim_0.125,0.070403315,0.6511056511056511
bim_0.25,0.070403315,0.8815663801337154
bim_0.3125,0.070403315,0.8920704845814978
pgd1_10,0.070403315,0.5596320575174456
pgd1_15,0.070403315,0.6314312441534145
pgd1_20,0.070403315,0.6945502490477585
pgd2_1,0.070403315,0.5780880773361976
pgd2_1.5,0.070403315,0.6783913262733232
pgd2_2,0.070403315,0.760576923076923
pgdi_0.125,0.070403315,0.6511758118701008
pgdi_0.25,0.070403315,0.8824376199616123
cwi,0.070403315,0.5175602660016625
df,0.070403315,0.8293413173652695
hop,0.070403315,0.6650655021834061
sta,0.070403315,0.8679039301310044
sa,0.070403315,0.7882233731141635
