Attack,Threshold,Accuracy
fgsm_0.125,0.047475137,0.8248138458442342
fgsm_0.25,0.047475137,0.9681022338498692
fgsm_0.3125,0.047475137,0.9705172066814248
bim_0.125,0.047475137,0.9607566914872208
bim_0.25,0.047475137,0.9646810223384987
bim_0.3125,0.047475137,0.9532099013886094
pgd1_10,0.047475137,0.7045683236063595
pgd1_15,0.047475137,0.8863956530489032
pgd1_20,0.047475137,0.942141275910646
pgd2_1,0.047475137,0.7833568122358624
pgd2_1.5,0.047475137,0.9467699738377944
pgd2_2,0.047475137,0.9404306701549607
pgdi_0.125,0.047475137,0.9625679211108875
pgdi_0.25,0.047475137,0.9646810223384987
cwi,0.047475137,0.5398470517206682
df,0.047475137,0.8681827329442544
hop,0.047475137,0.9754477762125177
sta,0.047475137,0.8836788086134031
sa,0.047475137,0.9754477762125177
