Attack,Threshold,Accuracy
fgsm_0.125,0.047475137,0.8080368569234707
fgsm_0.25,0.047475137,0.9661383285302594
fgsm_0.3125,0.047475137,0.9658590308370044
bim_0.125,0.047475137,0.9312436804853387
bim_0.25,0.047475137,0.0
bim_0.3125,0.047475137,0.0
pgd1_10,0.047475137,0.6689950980392156
pgd1_15,0.047475137,0.8198257080610022
pgd1_20,0.047475137,0.9059888579387186
pgd2_1,0.047475137,0.7475392391593509
pgd2_1.5,0.047475137,0.9126133553173948
pgd2_2,0.047475137,0.9852941176470589
pgdi_0.125,0.047475137,0.9346871569703622
pgdi_0.25,0.047475137,0.0
cwi,0.047475137,0.5004609356994699
df,0.047475137,0.9133333333333333
hop,0.047475137,0.5
sta,0.047475137,0.7969283276450512
sa,0.047475137,0.9983443708609272
