Attack,Threshold,Accuracy
fgsm_0.125,0.047475137,0.8865348399246704
fgsm_0.25,0.047475137,0.968421052631579
fgsm_0.3125,0.047475137,0.9709856035437431
bim_0.125,0.047475137,0.9680904522613065
bim_0.25,0.047475137,0.9646810223384987
bim_0.3125,0.047475137,0.9532099013886094
pgd1_10,0.047475137,0.8678290213723284
pgd1_15,0.047475137,0.943530291697831
pgd1_20,0.047475137,0.948247471183251
pgd2_1,0.047475137,0.8946280991735537
pgd2_1.5,0.047475137,0.957800851970181
pgd2_2,0.047475137,0.9394904458598726
pgdi_0.125,0.047475137,0.9688270083785115
pgdi_0.25,0.047475137,0.9646810223384987
cwi,0.047475137,0.8111111111111111
df,0.047475137,0.8667773396970326
hop,0.047475137,0.9757349979863069
sta,0.047475137,0.9104556228601528
sa,0.047475137,0.9722794959908362
