Attack,Threshold,Mode,Accuracy
fgsm_0.125,0.09543864824119197,bit_depth_1,0.6015530455828964
fgsm_0.125,0.08617405879272994,bit_depth_2,0.6116377571601452
fgsm_0.125,0.09953021022506903,median_filter_2,0.6239411052843888
fgsm_0.125,0.16764700393547383,median_filter_3,0.604981847519161
fgsm_0.125,0.1136931869310871,bit_depth_1&median_filter_2,0.6121419927390077
fgsm_0.25,0.09543864824119197,bit_depth_1,0.9193223073820089
fgsm_0.25,0.08617405879272994,bit_depth_2,0.9555264219443323
fgsm_0.25,0.09953021022506903,median_filter_2,0.9324324324324325
fgsm_0.25,0.16764700393547383,median_filter_3,0.9155909640984268
fgsm_0.25,0.1136931869310871,bit_depth_1&median_filter_2,0.9308188785800726
fgsm_0.3125,0.09543864824119197,bit_depth_1,0.9580475998386446
fgsm_0.3125,0.08617405879272994,bit_depth_2,0.9562323517547399
fgsm_0.3125,0.09953021022506903,median_filter_2,0.9567365873336022
fgsm_0.3125,0.16764700393547383,median_filter_3,0.9563331988705123
fgsm_0.3125,0.1136931869310871,bit_depth_1&median_filter_2,0.9620814844695442
bim_0.125,0.09543864824119197,bit_depth_1,0.628075837031061
bim_0.125,0.08617405879272994,bit_depth_2,0.6366478418717225
bim_0.125,0.09953021022506903,median_filter_2,0.6455223880597015
bim_0.125,0.16764700393547383,median_filter_3,0.6222267043162566
bim_0.125,0.1136931869310871,bit_depth_1&median_filter_2,0.635538523598225
bim_0.25,0.09543864824119197,bit_depth_1,0.9311214199273901
bim_0.25,0.08617405879272994,bit_depth_2,0.7580677692617991
bim_0.25,0.09953021022506903,median_filter_2,0.849838644614764
bim_0.25,0.16764700393547383,median_filter_3,0.8167607906413876
bim_0.25,0.1136931869310871,bit_depth_1&median_filter_2,0.932533279548205
bim_0.3125,0.09543864824119197,bit_depth_1,0.9452400161355385
bim_0.3125,0.08617405879272994,bit_depth_2,0.6543969342476805
bim_0.3125,0.09953021022506903,median_filter_2,0.7336627672448568
bim_0.3125,0.16764700393547383,median_filter_3,0.699878983461073
bim_0.3125,0.1136931869310871,bit_depth_1&median_filter_2,0.9449374747882211
pgd1_10,0.09543864824119197,bit_depth_1,0.5531464300121016
pgd1_10,0.08617405879272994,bit_depth_2,0.563735377168213
pgd1_10,0.09953021022506903,median_filter_2,0.5644413069786204
pgd1_10,0.16764700393547383,median_filter_3,0.5473981444130698
pgd1_10,0.1136931869310871,bit_depth_1&median_filter_2,0.5600040338846309
pgd1_15,0.09543864824119197,bit_depth_1,0.626663977410246
pgd1_15,0.08617405879272994,bit_depth_2,0.6468334005647438
pgd1_15,0.09953021022506903,median_filter_2,0.6409842678499394
pgd1_15,0.16764700393547383,median_filter_3,0.61304961678096
pgd1_15,0.1136931869310871,bit_depth_1&median_filter_2,0.6391690197660347
pgd1_20,0.09543864824119197,bit_depth_1,0.7242839854780153
pgd1_20,0.08617405879272994,bit_depth_2,0.72650262202501
pgd1_20,0.09953021022506903,median_filter_2,0.7246873739411053
pgd1_20,0.16764700393547383,median_filter_3,0.6926179911254539
pgd1_20,0.1136931869310871,bit_depth_1&median_filter_2,0.7343686970552642
pgd2_1,0.09543864824119197,bit_depth_1,0.5696853569987899
pgd2_1,0.08617405879272994,bit_depth_2,0.5863251311012505
pgd2_1,0.09953021022506903,median_filter_2,0.5828963291649859
pgd2_1,0.16764700393547383,median_filter_3,0.5621218233158531
pgd2_1,0.1136931869310871,bit_depth_1&median_filter_2,0.5792658329971763
pgd2_1.5,0.09543864824119197,bit_depth_1,0.6797095603065753
pgd2_1.5,0.08617405879272994,bit_depth_2,0.699878983461073
pgd2_1.5,0.09953021022506903,median_filter_2,0.6933239209358613
pgd2_1.5,0.16764700393547383,median_filter_3,0.6559096409842678
pgd2_1.5,0.1136931869310871,bit_depth_1&median_filter_2,0.6959459459459459
pgd2_2,0.09543864824119197,bit_depth_1,0.7961879790237999
pgd2_2,0.08617405879272994,bit_depth_2,0.7777329568374345
pgd2_2,0.09953021022506903,median_filter_2,0.7803549818475192
pgd2_2,0.16764700393547383,median_filter_3,0.7561516740621218
pgd2_2,0.1136931869310871,bit_depth_1&median_filter_2,0.8053650665590965
pgdi_0.125,0.09543864824119197,bit_depth_1,0.6295885437676483
pgdi_0.125,0.08617405879272994,bit_depth_2,0.6373537716821299
pgdi_0.125,0.09953021022506903,median_filter_2,0.6447156111335216
pgdi_0.125,0.16764700393547383,median_filter_3,0.6220250100847116
pgdi_0.125,0.1136931869310871,bit_depth_1&median_filter_2,0.6351351351351351
pgdi_0.25,0.09543864824119197,bit_depth_1,0.9309197256958451
pgdi_0.25,0.08617405879272994,bit_depth_2,0.7561516740621218
pgdi_0.25,0.09953021022506903,median_filter_2,0.849435256151674
pgdi_0.25,0.16764700393547383,median_filter_3,0.8151472367890278
pgdi_0.25,0.1136931869310871,bit_depth_1&median_filter_2,0.9320290439693425
cwi,0.09543864824119197,bit_depth_1,0.5265227914481646
cwi,0.08617405879272994,bit_depth_2,0.5258168616377572
cwi,0.09953021022506903,median_filter_2,0.5246066962484873
cwi,0.16764700393547383,median_filter_3,0.5236990722065349
cwi,0.1136931869310871,bit_depth_1&median_filter_2,0.5258168616377572
df,0.09543864824119197,bit_depth_1,0.8871520774505849
df,0.08617405879272994,bit_depth_2,0.8884630899556273
df,0.09953021022506903,median_filter_2,0.9105486083098023
df,0.16764700393547383,median_filter_3,0.8835215812827754
df,0.1136931869310871,bit_depth_1&median_filter_2,0.9107503025413474
