Attack,Threshold,Mode,Accuracy
fgsm_0.125,0.10025968108034194,bit_depth_1,0.5968132311415894
fgsm_0.125,0.09009392003563432,bit_depth_2,0.6058894715611134
fgsm_0.125,0.1012285241192572,median_filter_2,0.6208148446954417
fgsm_0.125,0.17273919672403634,median_filter_3,0.6020572811617588
fgsm_0.125,0.11647926983474832,bit_depth_1&median_filter_2,0.6099233561920129
fgsm_0.25,0.10025968108034194,bit_depth_1,0.9194231544977813
fgsm_0.25,0.09009392003563432,bit_depth_2,0.9563331988705123
fgsm_0.25,0.1012285241192572,median_filter_2,0.9333400564743848
fgsm_0.25,0.17273919672403634,median_filter_3,0.9163977410246067
fgsm_0.25,0.11647926983474832,bit_depth_1&median_filter_2,0.9299112545381202
fgsm_0.3125,0.10025968108034194,bit_depth_1,0.9603670835014119
fgsm_0.3125,0.09009392003563432,bit_depth_2,0.9568374344493747
fgsm_0.3125,0.1012285241192572,median_filter_2,0.9576442113755547
fgsm_0.3125,0.17273919672403634,median_filter_3,0.9577450584913272
fgsm_0.3125,0.11647926983474832,bit_depth_1&median_filter_2,0.963695038321904
bim_0.125,0.10025968108034194,bit_depth_1,0.6213190802743042
bim_0.125,0.09009392003563432,bit_depth_2,0.6300927793465106
bim_0.125,0.1012285241192572,median_filter_2,0.6381605486083098
bim_0.125,0.17273919672403634,median_filter_3,0.6193021379588544
bim_0.125,0.11647926983474832,bit_depth_1&median_filter_2,0.6301936264622832
bim_0.25,0.10025968108034194,bit_depth_1,0.9324324324324325
bim_0.25,0.09009392003563432,bit_depth_2,0.7569584509883017
bim_0.25,0.1012285241192572,median_filter_2,0.8527632109721662
bim_0.25,0.17273919672403634,median_filter_3,0.8181726502622025
bim_0.25,0.11647926983474832,bit_depth_1&median_filter_2,0.9348527632109722
bim_0.3125,0.10025968108034194,bit_depth_1,0.9474586526825333
bim_0.3125,0.09009392003563432,bit_depth_2,0.6570189592577652
bim_0.3125,0.1012285241192572,median_filter_2,0.7400161355385236
bim_0.3125,0.17273919672403634,median_filter_3,0.7064340459862848
bim_0.3125,0.11647926983474832,bit_depth_1&median_filter_2,0.9469544171036708
pgd1_10,0.10025968108034194,bit_depth_1,0.5524405002016942
pgd1_10,0.09009392003563432,bit_depth_2,0.5619201290843082
pgd1_10,0.1012285241192572,median_filter_2,0.5650463896732554
pgd1_10,0.17273919672403634,median_filter_3,0.5479023799919323
