Attack,Threshold,Mode,Accuracy
fgsm_0.125,0.10025968108034194,bit_depth_1,0.5869144821658788
fgsm_0.125,0.09009392003563432,bit_depth_2,0.595831542758917
fgsm_0.125,0.1012285241192572,median_filter_2,0.6119467125053717
fgsm_0.125,0.17273919672403634,median_filter_3,0.5916415986248389
fgsm_0.125,0.11647926983474832,bit_depth_1&median_filter_2,0.6012032660077353
fgsm_0.25,0.10025968108034194,bit_depth_1,0.8730228471001757
fgsm_0.25,0.09009392003563432,bit_depth_2,0.9716608084358523
fgsm_0.25,0.1012285241192572,median_filter_2,0.9165202108963093
fgsm_0.25,0.17273919672403634,median_filter_3,0.8837873462214412
fgsm_0.25,0.11647926983474832,bit_depth_1&median_filter_2,0.898725834797891
fgsm_0.3125,0.10025968108034194,bit_depth_1,0.9254464285714286
fgsm_0.3125,0.09009392003563432,bit_depth_2,0.959375
fgsm_0.3125,0.1012285241192572,median_filter_2,0.9544642857142858
fgsm_0.3125,0.17273919672403634,median_filter_3,0.9473214285714285
fgsm_0.3125,0.11647926983474832,bit_depth_1&median_filter_2,0.946875
bim_0.125,0.10025968108034194,bit_depth_1,0.6024590163934426
bim_0.125,0.09009392003563432,bit_depth_2,0.6116526362428002
bim_0.125,0.1012285241192572,median_filter_2,0.6223969871510855
bim_0.125,0.17273919672403634,median_filter_3,0.6032343819229065
bim_0.125,0.11647926983474832,bit_depth_1&median_filter_2,0.6127603012848915
bim_0.25,0.10025968108034194,bit_depth_1,0.8104956268221575
bim_0.25,0.09009392003563432,bit_depth_2,0.9436345966958212
bim_0.25,0.1012285241192572,median_filter_2,0.8445092322643343
bim_0.25,0.17273919672403634,median_filter_3,0.8012633624878522
bim_0.25,0.11647926983474832,bit_depth_1&median_filter_2,0.8328474246841594
bim_0.3125,0.10025968108034194,bit_depth_1,0.7890995260663507
bim_0.3125,0.09009392003563432,bit_depth_2,0.8838862559241706
bim_0.3125,0.1012285241192572,median_filter_2,0.8376777251184834
bim_0.3125,0.17273919672403634,median_filter_3,0.8045023696682464
bim_0.3125,0.11647926983474832,bit_depth_1&median_filter_2,0.8258293838862559
pgd1_10,0.10025968108034194,bit_depth_1,0.5428782132321955
pgd1_10,0.09009392003563432,bit_depth_2,0.5549936788874842
pgd1_10,0.1012285241192572,median_filter_2,0.5575221238938053
pgd1_10,0.17273919672403634,median_filter_3,0.5412979351032449
pgd1_10,0.11647926983474832,bit_depth_1&median_filter_2,0.5518331226295828
pgd1_15,0.10025968108034194,bit_depth_1,0.5874737578726382
pgd1_15,0.09009392003563432,bit_depth_2,0.6214135759272218
pgd1_15,0.1012285241192572,median_filter_2,0.6141824119430838
pgd1_15,0.17273919672403634,median_filter_3,0.5798926988570096
pgd1_15,0.11647926983474832,bit_depth_1&median_filter_2,0.6053184044786564
