Attack,Threshold,Mode,Accuracy
fgsm_0.125,0.10025968108034194,bit_depth_1,0.7483552631578947
fgsm_0.125,0.09009392003563432,bit_depth_2,0.7598684210526315
fgsm_0.125,0.1012285241192572,median_filter_2,0.756578947368421
fgsm_0.125,0.17273919672403634,median_filter_3,0.7615131578947368
fgsm_0.125,0.11647926983474832,bit_depth_1&median_filter_2,0.743421052631579
fgsm_0.25,0.10025968108034194,bit_depth_1,0.9587994034302759
fgsm_0.25,0.09009392003563432,bit_depth_2,0.9433258762117822
fgsm_0.25,0.1012285241192572,median_filter_2,0.9476137211036539
fgsm_0.25,0.17273919672403634,median_filter_3,0.9440715883668904
fgsm_0.25,0.11647926983474832,bit_depth_1&median_filter_2,0.9563758389261745
fgsm_0.3125,0.10025968108034194,bit_depth_1,0.9705575820739969
fgsm_0.3125,0.09009392003563432,bit_depth_2,0.9560969254820219
fgsm_0.3125,0.1012285241192572,median_filter_2,0.9585721730067743
fgsm_0.3125,0.17273919672403634,median_filter_3,0.9607868681605003
fgsm_0.3125,0.11647926983474832,bit_depth_1&median_filter_2,0.9686034392912976
bim_0.125,0.10025968108034194,bit_depth_1,0.8130630630630631
bim_0.125,0.09009392003563432,bit_depth_2,0.8175675675675675
bim_0.125,0.1012285241192572,median_filter_2,0.7984234234234234
bim_0.125,0.17273919672403634,median_filter_3,0.7826576576576577
bim_0.125,0.11647926983474832,bit_depth_1&median_filter_2,0.8074324324324325
bim_0.25,0.10025968108034194,bit_depth_1,0.9643675235428862
bim_0.25,0.09009392003563432,bit_depth_2,0.7080682107406465
bim_0.25,0.1012285241192572,median_filter_2,0.8549249172817511
bim_0.25,0.17273919672403634,median_filter_3,0.8226011707813693
bim_0.25,0.11647926983474832,bit_depth_1&median_filter_2,0.961567828964113
bim_0.3125,0.10025968108034194,bit_depth_1,0.9621913580246914
bim_0.3125,0.09009392003563432,bit_depth_2,0.6359126984126984
bim_0.3125,0.1012285241192572,median_filter_2,0.7309303350970018
bim_0.3125,0.17273919672403634,median_filter_3,0.697310405643739
bim_0.3125,0.11647926983474832,bit_depth_1&median_filter_2,0.9582231040564374
pgd1_10,0.10025968108034194,bit_depth_1,0.7665094339622641
pgd1_10,0.09009392003563432,bit_depth_2,0.7169811320754716
pgd1_10,0.1012285241192572,median_filter_2,0.7334905660377359
pgd1_10,0.17273919672403634,median_filter_3,0.6957547169811321
pgd1_10,0.11647926983474832,bit_depth_1&median_filter_2,0.7452830188679245
pgd1_15,0.10025968108034194,bit_depth_1,0.8450074515648286
pgd1_15,0.09009392003563432,bit_depth_2,0.7645305514157973
pgd1_15,0.1012285241192572,median_filter_2,0.7988077496274217
pgd1_15,0.17273919672403634,median_filter_3,0.7995529061102832
pgd1_15,0.11647926983474832,bit_depth_1&median_filter_2,0.8412816691505216
pgd1_20,0.10025968108034194,bit_depth_1,0.8814935064935064
pgd1_20,0.09009392003563432,bit_depth_2,0.7954545454545454
pgd1_20,0.1012285241192572,median_filter_2,0.8227272727272728
pgd1_20,0.17273919672403634,median_filter_3,0.8334415584415584
pgd1_20,0.11647926983474832,bit_depth_1&median_filter_2,0.8775974025974026
pgd2_1,0.10025968108034194,bit_depth_1,0.7720848056537103
pgd2_1,0.09009392003563432,bit_depth_2,0.7314487632508834
pgd2_1,0.1012285241192572,median_filter_2,0.7385159010600707
pgd2_1,0.17273919672403634,median_filter_3,0.7279151943462897
pgd2_1,0.11647926983474832,bit_depth_1&median_filter_2,0.7508833922261484
pgd2_1.5,0.10025968108034194,bit_depth_1,0.8700828157349897
pgd2_1.5,0.09009392003563432,bit_depth_2,0.7914078674948241
pgd2_1.5,0.1012285241192572,median_filter_2,0.8183229813664596
pgd2_1.5,0.17273919672403634,median_filter_3,0.8281573498964804
pgd2_1.5,0.11647926983474832,bit_depth_1&median_filter_2,0.8649068322981367
pgd2_2,0.10025968108034194,bit_depth_1,0.9046108291032149
pgd2_2,0.09009392003563432,bit_depth_2,0.8039340101522843
pgd2_2,0.1012285241192572,median_filter_2,0.8335448392554992
pgd2_2,0.17273919672403634,median_filter_3,0.8530033840947546
pgd2_2,0.11647926983474832,bit_depth_1&median_filter_2,0.9018612521150592
pgdi_0.125,0.10025968108034194,bit_depth_1,0.8175824175824176
pgdi_0.125,0.09009392003563432,bit_depth_2,0.8219780219780219
pgdi_0.125,0.1012285241192572,median_filter_2,0.8010989010989011
pgdi_0.125,0.17273919672403634,median_filter_3,0.7835164835164835
pgdi_0.125,0.11647926983474832,bit_depth_1&median_filter_2,0.8098901098901099
pgdi_0.25,0.10025968108034194,bit_depth_1,0.9644033443121358
pgdi_0.25,0.09009392003563432,bit_depth_2,0.7067392956675956
pgdi_0.25,0.1012285241192572,median_filter_2,0.8543197365087408
pgdi_0.25,0.17273919672403634,median_filter_3,0.8206232581707626
pgdi_0.25,0.11647926983474832,bit_depth_1&median_filter_2,0.961616417532303
cwi,0.10025968108034194,bit_depth_1,0.7047244094488189
cwi,0.09009392003563432,bit_depth_2,0.6889763779527559
cwi,0.1012285241192572,median_filter_2,0.7086614173228346
cwi,0.17273919672403634,median_filter_3,0.7007874015748031
cwi,0.11647926983474832,bit_depth_1&median_filter_2,0.6889763779527559
df,0.10025968108034194,bit_depth_1,0.8882550335570469
df,0.09009392003563432,bit_depth_2,0.8925055928411633
